"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006483.hg.1","ISG15","9636","ISG15 ubiquitin like modifier",2.94747440198173,8.1911512664972,10.5099691083091,7.19990986544564e-09,6.66999649934884e-06,10.6514344895354
"2","TC0100006497.hg.1","SCNN1D","6339","sodium channel epithelial 1 delta subunit",0.466896905262048,4.12669870587838,1.6829421770269,0.110603218980369,0.31030533635195,-5.37149190481226
"3","TC0100006501.hg.1","CPTP","80772","ceramide-1-phosphate transfer protein",-0.383692698758896,5.33348206590384,-1.47083771728468,0.159546525579588,0.386851345212454,-5.67549843726295
"4","TC0100006516.hg.1","VWA1","64856","von Willebrand factor A domain containing 1",0.234350177574285,5.06894047854245,1.03236311450156,0.316321945942905,0.584444855846644,-6.19839093009148
"5","TC0100006565.hg.1","SKI","6497","SKI proto-oncogene",-0.0540402701478291,6.27672338469298,-0.233088358339037,0.81846758575332,0.933534287104014,-6.70951971435155
"6","TC0100006619.hg.1","TPRG1L","127262","tumor protein p63 regulated 1 like",-0.709520619094563,7.55915567174048,-4.48477367371652,0.000323884780482141,0.00659300268218326,0.149081511753849
"7","TC0100006624.hg.1","SMIM1","388588","small integral membrane protein 1 (Vel blood group)",0.293599741743275,4.99122310363595,1.13697785472353,0.271272262620938,0.530406551481716,-6.08768482180491
"8","TC0100006675.hg.1","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",-0.0956317012829331,8.7994199105812,-0.536606761581654,0.598470786634545,0.81797482552116,-6.58879073459695
"9","TC0100006696.hg.1","ZBTB48","3104","zinc finger and BTB domain containing 48",-0.0940026306581041,4.76505041695008,-0.354482565916843,0.727322878051949,0.889444046611698,-6.67248242566533
"10","TC0100006698.hg.1","PHF13","148479","PHD finger protein 13",-0.371188908775689,6.36005773985899,-1.74045512538469,0.0997913515643527,0.2908958718981,-5.28398905483464
"11","TC0100006725.hg.1","PER3","8863","period circadian regulator 3",-0.443773357862771,6.25956501300338,-1.11011223362684,0.282359573592886,0.543489965010455,-6.11699742500883
"12","TC0100006771.hg.1","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.16772968861541,6.37767452164619,-0.547546478644688,0.591098417558643,0.814871389920129,-6.58270558871222
"13","TC0100006773.hg.1","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",1.3772942605897,8.34390644650691,4.95051619101445,0.000120471430951448,0.00350958281866106,1.126367006286
"14","TC0100006805.hg.1","RBP7","116362","retinol binding protein 7",-0.258902329860478,6.42459090209197,-0.869410291049743,0.396695134948956,0.66366231631429,-6.35185693025363
"15","TC0100006852.hg.1","UBIAD1","29914","UbiA prenyltransferase domain containing 1",-0.087028320359213,8.13439736844247,-0.430705256457425,0.672077198860346,0.857356536800088,-6.6415255477453
"16","TC0100006862.hg.1","FBXO6","26270","F-box protein 6",0.679056673691953,6.28420275464438,3.02532454354813,0.00761080123526523,0.0516909550172266,-2.92608332698395
"17","TC0100006874.hg.1","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",-0.296256523734606,8.97121899073716,-0.901587208396422,0.379833919557764,0.65042170624457,-6.32343486176149
